dataset,task_type,after_pca_dimensions,before_pca_silhouette,after_pca_silhouette,silhouette_delta,before_pca_knn_purity,after_pca_knn_purity,knn_purity_loss
fitness_club,binary,15,0.0508,0.0552,-0.0043,0.7542,0.7417,0.0125
another-dataset-on-used-fiat-500,regression,54,0.0932,0.1002,-0.007,0.6593,0.661,-0.0016
hiva_agnostic,multiclass,49,-0.0197,-0.0215,0.0019,0.9626,0.9626,0.0
healthcare_insurance_expenses,regression,25,0.1581,0.1707,-0.0126,0.8925,0.8916,0.0009
e-commereshippingdata,binary,11,0.1187,0.1273,-0.0085,0.6583,0.6467,0.0116
credit_card_clients_default,binary,23,0.0263,0.0276,-0.0013,0.7848,0.7861,-0.0013
churn,binary,20,0.3108,0.3214,-0.0106,0.9692,0.9692,0.0
maternal_health_risk,multiclass,38,0.053,0.0562,-0.0033,0.8224,0.8335,-0.0111
airfoil_self_noise,regression,57,0.2032,0.2173,-0.0141,0.8885,0.8935,-0.005
hazelnut-spread-contaminant-detection,binary,48,0.1377,0.1443,-0.0066,0.9458,0.9391,0.0068
jm1,binary,42,-0.003,-0.0034,0.0004,0.7925,0.7933,-0.0008
sdss17,multiclass,21,0.1677,0.1768,-0.0091,0.9772,0.9765,0.0007
diabetes130us,binary,38,0.0358,0.0373,-0.0015,0.8938,0.8947,-0.0008
houses,regression,77,0.1062,0.1151,-0.0089,0.7585,0.7596,-0.0011
diabetes,binary,32,0.0167,0.0176,-0.001,0.7363,0.733,0.0033
qsar-biodeg,binary,45,0.0297,0.0318,-0.0022,0.8328,0.8339,-0.0012
polish_companies_bankruptcy,binary,52,0.2069,0.2089,-0.0021,0.978,0.978,0.0
is-this-a-good-customer,binary,31,0.0189,0.0203,-0.0013,0.8672,0.8708,-0.0036
naticusdroid,binary,36,0.006,0.0072,-0.0011,0.9272,0.9251,0.0022
diamonds,regression,29,0.211,0.2355,-0.0246,0.9371,0.938,-0.0009
in_vehicle_coupon_recommendation,binary,58,0.0087,0.0091,-0.0004,0.7226,0.7235,-0.0009
coil2000_insurance_policies,binary,57,-0.0082,-0.0095,0.0013,0.9269,0.9271,-0.0001
website_phishing,multiclass,27,0.0508,0.0536,-0.0028,0.903,0.9002,0.0028
qsar_fish_toxicity,regression,75,0.0432,0.0462,-0.003,0.5821,0.5945,-0.0124
qsar-tid-11,regression,41,0.0705,0.0769,-0.0065,0.6747,0.668,0.0067
splice,multiclass,33,0.1313,0.138,-0.0067,0.9459,0.9447,0.0012
students_dropout_and_academic_success,multiclass,29,0.0461,0.0493,-0.0032,0.7434,0.7406,0.0028
apsfailure,binary,41,0.2491,0.2485,0.0006,0.9931,0.993,0.0001
bank_customer_churn,binary,20,0.0403,0.0409,-0.0005,0.8411,0.839,0.0021
bioresponse,binary,54,0.0085,0.009,-0.0004,0.7427,0.738,0.0047
miami_housing,regression,73,0.1606,0.1734,-0.0128,0.8188,0.8166,0.0022
blood-transfusion-service-center,binary,22,-0.0116,-0.0124,0.0008,0.7625,0.7525,0.01
credit-g,binary,42,0.0261,0.0268,-0.0007,0.7213,0.7238,-0.0025
amazon_employee_access,binary,52,0.0249,0.0242,0.0008,0.9508,0.951,-0.0002
heloc,binary,21,0.0033,0.0032,0.0001,0.6649,0.6571,0.0078
kddcup09_appetency,binary,36,0.0283,0.0287,-0.0004,0.9801,0.9801,-0.0
physiochemical_protein,regression,87,0.0906,0.0965,-0.006,0.7416,0.741,0.0006
anneal,multiclass,32,0.2885,0.3079,-0.0195,0.9972,0.9972,0.0
taiwanese_bankruptcy_prediction,binary,32,0.0905,0.089,0.0015,0.9672,0.967,0.0002
customer_satisfaction_in_airline,binary,33,0.078,0.0819,-0.004,0.9565,0.9553,0.0011
wine_quality,regression,25,0.0763,0.083,-0.0066,0.679,0.674,0.005
hr_analytics_job_change_of_data_scientists,binary,36,0.0367,0.0389,-0.0022,0.7744,0.7763,-0.002
online_shoppers_intention,binary,21,0.0386,0.038,0.0006,0.8876,0.8892,-0.0016
bank-marketing,binary,28,0.0728,0.0737,-0.0009,0.8724,0.8721,0.0004
mic,multiclass,30,0.1888,0.1962,-0.0074,0.8786,0.8757,0.0029
marketing_campaign,binary,42,0.0451,0.0454,-0.0003,0.875,0.8755,-0.0006
concrete_compressive_strength,regression,78,0.1461,0.156,-0.0099,0.8495,0.8556,-0.0061
superconductivity,regression,70,0.1739,0.187,-0.0131,0.8484,0.8476,0.0008
food_delivery_time,regression,34,-0.0312,-0.0327,0.0014,0.4173,0.4189,-0.0016
seismic-bumps,binary,25,-0.01,-0.0129,0.0029,0.9236,0.926,-0.0024
givemesomecredit,binary,20,0.0617,0.0596,0.0021,0.9261,0.9264,-0.0003
