dataset,feat_share_embedded_pct,feat_share_raw_pct,task_type,size_scale
taiwanese_bankruptcy_prediction,22.986884104514207,77.01311589548577,Binary,Small
bioresponse,29.673196206330278,70.32680379366965,Binary,Small
naticusdroid,31.190905478899328,68.80909452110065,Binary,Small
heloc,33.520963623874216,66.47903637612576,Binary,Medium
kddcup09_appetency,33.54673722418636,66.45326277581366,Binary,Medium
diamonds,36.135564422820245,63.864435577179755,Regression,Medium
credit_card_clients_default,38.01296294710186,61.98703705289813,Binary,Medium
splice,39.04959489035746,60.95040510964255,Multiclass,Small
givemesomecredit,39.22486506896255,60.77513493103745,Binary,Medium
students_dropout_and_academic_success,42.635498251620334,57.364501748379666,Multiclass,Small
diabetes130us,43.91870769069957,56.08129230930043,Binary,Medium
amazon_employee_access,45.37701138375507,54.622988616244946,Binary,Medium
mic,45.409341263830584,54.59065873616941,Multiclass,Small
online_shoppers_intention,45.48585875184819,54.514141248151795,Binary,Medium
diabetes,46.729177260423796,53.2708227395762,Binary,Small
apsfailure,46.89906222995771,53.100937770042265,Binary,Medium
qsar-biodeg,47.34651915763701,52.653480842363,Binary,Small
fitness_club,48.67259948735887,51.327400512641134,Binary,Small
sdss17,50.79037970954107,49.20962029045893,Multiclass,Medium
customer_satisfaction_in_airline,54.036195371103624,45.963804628896376,Binary,Medium
seismic-bumps,58.66382379448387,41.33617620551614,Binary,Small
bank-marketing,59.635111987105226,40.36488801289476,Binary,Medium
e-commereshippingdata,60.55446957829795,39.44553042170206,Binary,Medium
coil2000_insurance_policies,61.424943957512994,38.57505604248704,Binary,Small
hr_analytics_job_change_of_data_scientists,61.88888688517171,38.11111311482829,Binary,Medium
anneal,63.42708087415829,36.5729191258417,Multiclass,Small
website_phishing,64.55895477972751,35.44104522027248,Multiclass,Small
hiva_agnostic,66.00934487039035,33.990655129609664,Multiclass,Small
bank_customer_churn,66.27497163125287,33.72502836874713,Binary,Small
hazelnut-spread-contaminant-detection,67.78603436377715,32.213965636222866,Binary,Small
another-dataset-on-used-fiat-500,67.87627978417265,32.12372021582735,Regression,Small
marketing_campaign,68.9992696921945,31.000730307805487,Binary,Small
polish_companies_bankruptcy,69.29506894367529,30.70493105632471,Binary,Small
maternal_health_risk,69.86097846009687,30.139021539903116,Multiclass,Small
credit-g,70.17915150002777,29.820848499972225,Binary,Small
blood-transfusion-service-center,70.59052146778298,29.409478532217037,Binary,Small
jm1,74.22584939164976,25.77415060835021,Binary,Medium
healthcare_insurance_expenses,74.46053215024679,25.53946784975319,Regression,Small
is-this-a-good-customer,77.91258461165233,22.087415388347665,Binary,Small
superconductivity,78.03439484441066,21.965605155589362,Regression,Medium
in_vehicle_coupon_recommendation,79.39875341319635,20.60124658680364,Binary,Medium
qsar_fish_toxicity,81.72247493687883,18.27752506312117,Regression,Small
churn,84.77369054445059,15.226309455549412,Binary,Small
food_delivery_time,85.27788793993332,14.722112060066669,Regression,Medium
concrete_compressive_strength,88.03885226805335,11.961147731946669,Regression,Small
miami_housing,88.8201136713908,11.179886328609207,Regression,Medium
houses,89.15675453554853,10.843245464451462,Regression,Medium
wine_quality,91.38273732472767,8.61726267527231,Regression,Small
qsar-tid-11,93.57804160677405,6.421958393225917,Regression,Small
physiochemical_protein,96.77665038167618,3.223349618323842,Regression,Medium
airfoil_self_noise,97.47165617299898,2.528343827001034,Regression,Small
